created_at,favorite_count,retweet_count,id_str,location,followers_count,friends_count,listed_count,favourites_count,verified,statuses_count,label
Sat Sep 30 02:45:04 +0000 2017,0,54082,1102124178,"Ludington, MI",317,108,0,11056,False,2665,-1
Wed Oct 11 18:27:11 +0000 2017,8,9,36890646,"Washington, D.C.",63891,2062,1757,533,True,29451,-1
Wed Nov 01 00:12:34 +0000 2017,0,23,14276218,"Washington, DC",8485,1436,414,86,True,18275,-1
Tue Sep 19 11:24:35 +0000 2017,2,0,22669549,"Atlanta, GA",2656,1477,165,189,True,5317,-1
Mon Oct 09 22:12:01 +0000 2017,4,1,297067961,"Washington, DC",49112,1424,1809,407,True,6142,-1
Sat Jul 22 12:24:38 +0000 2017,1,1,87215923,"Cambridge, MA",3315,765,229,676,True,9913,-1
Sun May 18 20:09:05 +0000 2014,0,0,816479989,"New York, NY",189,84,12,75,False,188,-1
Thu Nov 02 03:39:28 +0000 2017,10,0,1759181,"Austin, TX",22296,8631,889,79227,False,164816,-1
Tue Jun 27 13:08:38 +0000 2017,0,5,2675185974,"Grand Rapids, MI",262,201,0,6581,False,1689,-1
Wed May 03 23:48:25 +0000 2017,2,0,2675185974,"Grand Rapids, MI",262,201,0,6581,False,1689,-1
Tue Oct 10 04:14:16 +0000 2017,0,8755,16129920,"New York, NY USA",8590999,2739,47076,0,True,6334,-1
Wed Oct 04 20:21:58 +0000 2017,3,4,14345062,"Washington, D.C. ",372796,1716,7236,894,True,70756,-1
Fri Oct 20 23:07:50 +0000 2017,0,148,586,California and Montana ,1841358,1338,12950,258765,True,65804,-1
Wed Oct 11 18:15:51 +0000 2017,0,26,29986482,"New York, NY",11685,1491,449,4084,False,6432,-1
Fri Oct 20 22:57:41 +0000 2017,843,148,16002085,"Washington, DC",176583,2449,3011,1406,True,39922,-1
Wed Oct 18 18:04:28 +0000 2017,299,167,16002085,"Washington, DC",176583,2449,3011,1406,True,39922,-1
Sun Oct 09 23:56:59 +0000 2016,0,0,739272169130237952,"Ludington, MI",774,943,3,1649,False,254,-1
Sat Oct 28 12:24:52 +0000 2017,0,3276,1383272101,"Edina, MN and Washington, DC",165321,522,2258,14110,True,15421,-1
Tue Oct 03 04:26:19 +0000 2017,59,35,156016878,"Washington, DC",69358,1299,2259,4671,True,16779,-1
Mon Sep 18 01:57:10 +0000 2017,16,1,156016878,"Washington, DC",69358,1299,2259,4671,True,16779,-1
Tue Sep 05 15:00:03 +0000 2017,0,0,19721585,"Washington, DC",1871,1672,94,3770,True,16152,-1
Mon Oct 16 14:29:51 +0000 2017,2,2,21768766,"Washington, DC",58960,920,1767,210,True,16863,-1
Wed Oct 11 18:17:41 +0000 2017,22,15,21768766,"Washington, DC",58960,920,1767,210,True,16863,-1
Wed Aug 16 02:21:19 +0000 2017,0,31681,619572356,"Washington, DC",1525,2243,43,3,False,1461,-1
Thu Jun 22 16:31:52 +0000 2017,1,0,619572356,"Washington, DC",1525,2243,43,3,False,1461,-1
Mon Oct 09 18:02:47 +0000 2017,0,5161,318154870,"Maryland, USA",521,516,1,5396,False,19672,-1
Mon Feb 13 04:22:36 +0000 2012,0,0,26069698,"Pasadena, TX",54,41,0,1,False,249,-1
Sun Jan 15 06:07:57 +0000 2017,0,2,1360748538,Texas,14156,7877,23,13197,False,7116,-1
Mon Oct 30 23:30:12 +0000 2017,37,33,275686563,New York,2275548,127,33906,1781,True,129874,-1
Thu Nov 02 16:05:23 +0000 2017,17,23,16664681,"Los Angeles, CA",3094299,10669,30074,1904,True,182449,-1
Fri Oct 27 19:43:24 +0000 2017,0,488,37281592,Washington,61928,1326,2443,3339,True,332,-1
Mon Oct 16 04:13:15 +0000 2017,2,0,597581087,Maryland,203,242,0,1160,False,3171,-1
Sun Mar 12 18:24:04 +0000 2017,0,0,597581087,Maryland,203,242,0,1160,False,3171,-1
Fri Jan 06 17:18:32 +0000 2017,0,0,597581087,Maryland,203,242,0,1160,False,3171,-1
Sat Dec 03 13:55:13 +0000 2016,0,2160,597581087,Maryland,203,242,0,1160,False,3171,-1
Fri Sep 15 12:47:36 +0000 2017,0,29134,50348086,New York,880,1677,65,706,False,5891,-1
Tue Oct 31 16:06:35 +0000 2017,43,14,19400611,New Jersey & New York,191148,5859,1552,165,True,76614,-1
Wed Sep 27 17:15:19 +0000 2017,0,4,959536537,"Manistee, MI",377,294,0,3418,False,5076,-1
Mon Sep 18 05:59:14 +0000 2017,0,1995,959536537,"Manistee, MI",377,294,0,3418,False,5076,-1
Wed Sep 06 04:18:19 +0000 2017,0,77,959536537,"Manistee, MI",377,294,0,3418,False,5076,-1
Sun Jul 09 23:42:57 +0000 2017,2,0,959536537,"Manistee, MI",377,294,0,3418,False,5076,-1
Thu Oct 26 14:17:06 +0000 2017,0,72282,92079350,"Washington, DC",84842,422,2614,3397,True,44357,-1
Mon Jul 24 17:18:45 +0000 2017,0,310,237637694,"California, USA",33017,559,742,449,False,815,-1
Mon Jul 03 21:08:15 +0000 2017,0,109,237637694,"California, USA",33017,559,742,449,False,815,-1
Sat Jul 01 21:45:22 +0000 2017,0,7,237637694,"California, USA",33017,559,742,449,False,815,-1
Mon Oct 02 20:02:38 +0000 2017,4927,564,327019649,"Los Angeles, CA",1408798,253,1614,265,True,2130,-1
Tue May 24 13:13:59 +0000 2016,2,0,470548023,New York City,223,203,0,708,False,1465,-1
Wed Mar 25 18:08:47 +0000 2015,2,1,470548023,New York City,223,203,0,708,False,1465,-1
Mon Dec 15 01:21:24 +0000 2014,1,1,470548023,New York City,223,203,0,708,False,1465,-1
Thu Oct 12 01:19:21 +0000 2017,0,3248,36169584,New York City,4715,340,222,0,True,3962,-1
Wed Oct 18 18:12:34 +0000 2017,39,6,48797538,"Washington, DC",20197,321,703,6,False,8537,-1
Tue Oct 17 13:26:36 +0000 2017,0,31,48797538,"Washington, DC",20197,321,703,6,False,8537,-1
Wed Oct 04 20:59:56 +0000 2017,0,15,480566008,"New York, NY",5750,470,31,10299,False,13678,-1
Fri Sep 01 18:34:45 +0000 2017,0,420,480566008,"New York, NY",5750,470,31,10299,False,13678,-1
Sun Aug 06 18:34:22 +0000 2017,0,13405,480566008,"New York, NY",5750,470,31,10299,False,13678,-1
Wed Nov 01 13:24:34 +0000 2017,19,8,17243582,Washington,155618,4593,5368,5373,True,190613,-1
Sun Jan 29 08:41:10 +0000 2017,0,8,203805421,"Seattle, WA",720,389,41,311,False,2184,-1
Wed Oct 25 01:59:02 +0000 2017,0,134,47415772,"Washington, DC",14104,1934,658,2417,True,33649,-1
Wed May 10 14:40:16 +0000 2017,3,0,36106011,New York,2601,387,126,511,False,450,-1
Wed Oct 14 01:54:03 +0000 2015,0,93,15526259,"Ann Arbor, MI",288,421,8,334,False,3784,-1
Mon Aug 11 19:10:00 +0000 2014,1659,847,1000262514,"New York, NY",851023,0,6015,157,False,512,-1
Sun Oct 06 21:09:25 +0000 2013,620,1042,1000262514,"New York, NY",851023,0,6015,157,False,512,-1
Wed Oct 11 23:11:16 +0000 2017,6821,2929,148529707,"Berkeley, CA",516170,193,9880,48,True,7070,-1
Wed Oct 18 19:10:01 +0000 2017,6,2,21251668,"Washington, DC",38043,3990,1116,3282,True,8405,-1
Fri Oct 27 15:57:29 +0000 2017,762,463,248735463,"Washington, DC and Oakland, CA",160075,16426,2590,2948,True,6875,-1
Wed Oct 11 13:14:29 +0000 2017,0,0,166219963,"Washington, DC",7611,1045,315,1394,True,10422,-1
Mon Sep 18 14:13:29 +0000 2017,0,2,890061872,"Grand Rapids, MI",1176,721,1,15206,False,18802,-1
Thu Sep 07 19:23:22 +0000 2017,4,0,21775858,New Jersey,118689,93180,537,62,False,6176,-1
Wed Aug 30 14:27:31 +0000 2017,0,662,122226401,"Washington, DC ",104434,1007,1515,29720,True,33397,-1
Mon Sep 11 11:38:58 +0000 2017,1653,465,131351549,"New York, NY",452507,596,7030,1094,True,5464,-1
Mon Oct 30 12:00:03 +0000 2017,428,145,27368199,"Silver Spring, MD",1769462,672,5208,91,True,26414,-1
Mon Oct 02 01:36:07 +0000 2017,0,1,72653278," Kennesaw, GA",1184,2298,35,3272,False,11526,-1
Thu Oct 26 20:50:39 +0000 2017,0,0,15829680,"Chicago, NYC, SF",3705,1488,337,4983,False,101710,-1
Fri Dec 02 13:41:15 +0000 2016,0,4,25153138,"Arizona, USA",3681,4175,70,638,False,14741,-1
Tue Oct 10 23:13:22 +0000 2017,28,2,42267429,New York City,61579,1443,888,3682,True,2175,-1
Wed Oct 11 18:24:05 +0000 2017,8254,2698,22771961,"Washington, DC ",449748,2969,5341,4599,True,27524,-1
Mon Aug 14 02:05:17 +0000 2017,0,20673,621213380,"Venice, CA",1247,309,56,94,False,309,-1
Mon Aug 14 02:04:58 +0000 2017,0,23771,621213380,"Venice, CA",1247,309,56,94,False,309,-1
Thu Sep 21 22:25:26 +0000 2017,0,50286,539740404,"California, USA",1572,360,5,5507,False,3868,-1
Thu Oct 26 17:58:25 +0000 2017,0,72282,135515077,"Washington, DC",20293,1378,932,1005,True,20551,-1
Sun Jul 16 04:38:05 +0000 2017,0,0,19836954,New Mexico,2423,1799,132,4,False,2159,-1
Sat Jan 28 06:06:57 +0000 2017,0,0,19836954,New Mexico,2423,1799,132,4,False,2159,-1
Tue Oct 31 21:57:03 +0000 2017,116,8,214622133,Indiana -- Brooklyn -- Wakanda,107269,1345,1396,16029,True,104009,-1
Sun Oct 29 16:07:46 +0000 2017,17,0,214622133,Indiana -- Brooklyn -- Wakanda,107269,1345,1396,16029,True,104009,-1
Sat Aug 19 22:23:47 +0000 2017,0,0,16371887,"Washington, DC",18195,1279,882,51626,True,20881,-1
Sun Jun 04 12:02:49 +0000 2017,0,0,16371887,"Washington, DC",18195,1279,882,51626,True,20881,-1
Tue May 23 03:25:33 +0000 2017,1,0,584147918,"Los Angeles, CA",520,235,5,16170,False,6754,-1
Tue Oct 31 21:57:09 +0000 2017,0,86,18812301,"New York, NY",1798235,3181,12622,4750,True,32306,-1
Sun Oct 29 02:20:03 +0000 2017,0,73,18812301,"New York, NY",1798235,3181,12622,4750,True,32306,-1
Fri Jul 25 03:23:24 +0000 2014,0,2,2296745204,"Ludington, MI",373,331,1,3067,False,72,-1
